Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
42423839,Hunting the Nazi Bomb: The Special Forces Mission to Sabotage Hitler's Deadliest Weapon,Damien Lewis,"Lewis, Damien",,"=""""","=""""",0,4.48,Open Road Media,Kindle Edition,441,2018,2016,,2020/05/23,to-read,to-read (#3645),to-read,,,,0,,,0,,,,,
54860351,Axiom's End (Noumena #1),Lindsay  Ellis,"Ellis, Lindsay",,"=""1250798132""","=""9781250798138""",0,3.80,St. Martin's Griffin,Paperback,384,2021,2020,,2021/07/20,to-read,to-read (#4148),to-read,,,,0,,,0,,,,,
55585159,Bound For Texas,Kit Prate,"Prate, Kit",,"=""""","=""""",0,4.14,,Kindle Edition,,2020,,,2021/07/19,to-read,to-read (#4147),to-read,,,,0,,,0,,,,,
58555585,Captain Nemo: The Fantastic History of a Dark Genius,Kevin J. Anderson,"Anderson, Kevin J.",,"=""""","=""""",0,3.73,Audible Studios,Audible Audio,15,2011,2002,,2021/07/19,to-read,to-read (#4146),to-read,,,,0,,,0,,,,,
28449123,Red Right Hand (Michael Hendricks #2),Chris  Holm,"Holm, Chris",,"=""031625956X""","=""9780316259569""",0,3.94,Mulholland Books,Hardcover,341,2016,2016,,2021/07/19,to-read,to-read (#4145),to-read,,,,0,,,0,,,,,
53645701,Citadel,Marko Kloos,"Kloos, Marko",,"=""""","=""""",0,4.43,,Kindle Edition,,2021,2021,,2021/07/19,to-read,to-read (#4144),to-read,,,,0,,,0,,,,,
54678107,"The Free Bastards (The Lot Lands, #3)",Jonathan  French,"French, Jonathan",,"=""0356515532""","=""9780356515533""",0,4.37,Orbit,Paperback,464,2021,2021,,2021/07/18,to-read,to-read (#4143),to-read,,,,0,,,0,,,,,
55644025,"Greater Good (Star Wars: Thrawn Ascendancy, #2)",Timothy Zahn,"Zahn, Timothy",,"=""0593158296""","=""9780593158296""",0,4.15,Del Rey Books,Hardcover,432,2021,2021,,2021/07/17,to-read,to-read (#4142),to-read,,,,0,,,0,,,,,
54427135,I'm Waiting for You and Other Stories,Kim Bo-young,"Bo-young, Kim","Sophie Bowman, Sung Ryu","=""0062951467""","=""9780062951465""",0,3.84,Harper Voyager,Hardcover,336,2021,2021,,2021/07/17,to-read,to-read (#4141),to-read,,,,0,,,0,,,,,
53205794,"The Last Watch (The Divide, #1)",J.S. Dewes,"Dewes, J.S.",,"=""1250236347""","=""9781250236340""",0,4.07,Tor Books,Paperback,480,2021,2021,,2021/07/17,to-read,to-read (#4140),to-read,,,,0,,,0,,,,,
55880064,Powers and Thrones: A New History of the Middle Ages,Dan Jones,"Jones, Dan",,"=""""","=""9781789543537""",0,4.67,Apollo,Hardcover,512,2021,2021,,2021/07/16,to-read,to-read (#4139),to-read,,,,0,,,0,,,,,
57660923,Razorblade Tears,S.A. Cosby,"Cosby, S.A.",,"=""1250252709""","=""9781250252708""",0,4.32,Flatiron Books,Hardcover,322,2021,2021,,2021/07/16,to-read,to-read (#4138),to-read,,,,0,,,0,,,,,
45046555,"The Last Emperox (The Interdependency, #3)",John Scalzi,"Scalzi, John",,"=""0765389169""","=""9780765389169""",0,4.10,Tor Books,Hardcover,320,2020,2020,,2020/03/22,to-read,to-read (#3452),to-read,,,,0,,,0,,,,,
58438630,In the Blood (Terminal List #5),Jack Carr,"Carr, Jack",,"=""1982181656""","=""9781982181659""",0,4.75,Atria/Emily Bestler Books,Hardcover,400,2022,2022,,2021/07/14,to-read,to-read (#4137),to-read,,,,0,,,0,,,,,
56500050,Left for Dead (Eric Steele #4),Sean Parnell,"Parnell, Sean",,"=""""","=""""",0,0.0,,Kindle Edition,400,2021,,,2021/07/14,to-read,to-read (#4136),to-read,,,,0,,,0,,,,,
55188449,The Desert Prince,Peter V. Brett,"Brett, Peter V.",,"=""1984817086""","=""9781984817082""",0,4.26,Del Rey Books,Hardcover,656,2021,2021,,2021/07/12,to-read,to-read (#4135),to-read,,,,0,,,0,,,,,
55921487,"King Bullet (Sandman Slim, #12)",Richard Kadrey,"Kadrey, Richard",,"=""0062951572""","=""9780062951571""",0,4.33,Harper Voyager,Hardcover,320,2021,2021,,2021/07/12,to-read,to-read (#4134),to-read,,,,0,,,0,,,,,
56326737,Constance (Constance #1),Matthew FitzSimmons,"FitzSimmons, Matthew",,"=""""","=""""",0,4.80,Thomas & Mercer,Kindle Edition,352,2021,2021,,2021/07/11,to-read,to-read (#4133),to-read,,,,0,,,0,,,,,
56616569,"The Ninth Metal (The Comet Cycle, #1)",Benjamin Percy,"Percy, Benjamin",,"=""""","=""""",0,3.86,Mariner Books,Kindle Edition,304,2021,2021,,2021/07/08,to-read,to-read (#4132),to-read,,,,0,,,0,,,,,
251547,The Anarchist Cookbook,William Powell,"Powell, William",Peter M. Bergman,"=""0974458902""","=""9780974458908""",0,3.47,"Ozark Press, LLC",Paperback,160,1971,1971,,2021/07/07,to-read,to-read (#4131),to-read,,,,0,,,0,,,,,
1191807,The Poor Man's James Bond (vol. 1),Kurt Saxon,"Saxon, Kurt",,"=""0879472308""","=""9780879472306""",0,4.14,Desert Pubns,Paperback,,1991,1972,,2021/07/07,to-read,to-read (#4130),to-read,,,,0,,,0,,,,,
881902,Sailing Alone around the World,Joshua Slocum,"Slocum, Joshua",,"=""0140437363""","=""9780140437362""",0,4.14,Penguin Classics,Paperback,273,1999,1899,,2021/07/07,to-read,to-read (#4129),to-read,,,,0,,,0,,,,,
